StudyID,FishID,GEN,time,first_time,GenRKM,Region,GenLat,GenLon,Rel_date,RelRKM,release_latitude,release_longitude,Rel_loc
Butte_Sink_2024,BS2024-001,Butte_Slough_Outfall_Gate,2024-04-11T20:27:20Z,2024-04-11 12:27:20,270.487,Butte Ck,39.19517,-121.93591,4/10/2024 7:35:00,288.65,39.32663,-121.8847,Sanborn_Slough_Rel
Butte_Sink_2024,BS2024-001,Butte_Slough_Outfall_Gate,2024-04-11T22:13:56Z,2024-04-11 14:13:56,270.487,Butte Ck,39.19517,-121.93591,4/10/2024 7:35:00,288.65,39.32663,-121.8847,Sanborn_Slough_Rel
Butte_Sink_2024,BS2024-001,Sanborn_Slough_Rel,2024-04-10T15:35:00Z,2024-04-10 07:35:00,288.65,Butte Ck,39.32663,-121.8847,4/10/2024 7:35:00,288.65,39.32663,-121.8847,Sanborn_Slough_Rel
Butte_Sink_2024,BS2024-001,SutterBypass113,2024-04-13T12:59:00Z,2024-04-13 04:59:00,230,Sutter Bypass,38.956516,-121.669655,4/10/2024 7:35:00,288.65,39.32663,-121.8847,Sanborn_Slough_Rel
Butte_Sink_2024,BS2024-001,SutterBypass113,2024-04-29T21:15:53Z,2024-04-29 13:15:53,230,Sutter Bypass,38.956516,-121.669655,4/10/2024 7:35:00,288.65,39.32663,-121.8847,Sanborn_Slough_Rel
Butte_Sink_2024,BS2024-001,UpperButte3,2024-04-12T14:49:02Z,2024-04-12 06:49:02,267.216,Butte Ck,39.1876,-121.90903,4/10/2024 7:35:00,288.65,39.32663,-121.8847,Sanborn_Slough_Rel
Butte_Sink_2024,BS2024-002,Sanborn_Slough_Rel,2024-04-10T15:35:00Z,2024-04-10 07:35:00,288.65,Butte Ck,39.32663,-121.8847,4/10/2024 7:35:00,288.65,39.32663,-121.8847,Sanborn_Slough_Rel
Butte_Sink_2024,BS2024-002,UpperButte3,2024-04-28T15:18:41Z,2024-04-28 07:18:41,267.216,Butte Ck,39.1876,-121.90903,4/10/2024 7:35:00,288.65,39.32663,-121.8847,Sanborn_Slough_Rel
Butte_Sink_2024,BS2024-002,UpperButte4,2024-04-29T17:15:04Z,2024-04-29 09:15:04,253.917,Butte Ck,39.127655,-121.81653,4/10/2024 7:35:00,288.65,39.32663,-121.8847,Sanborn_Slough_Rel
Butte_Sink_2024,BS2024-003,Sanborn_Slough_Rel,2024-04-10T15:35:00Z,2024-04-10 07:35:00,288.65,Butte Ck,39.32663,-121.8847,4/10/2024 7:35:00,288.65,39.32663,-121.8847,Sanborn_Slough_Rel
