"FishID","GEN","GenRKM","Region","min_time","year"
"SB2023-013","Sacramento",150.086666666667,"Lower Sac R",2023-04-14 17:03:15,2023
"SB2023-013","Endpoint",61.815,"End",2023-04-17 14:25:00,2023
"SB2023-014","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-014","Sacramento",150.086666666667,"Lower Sac R",2023-04-16 04:11:28,2023
"SB2023-014","Endpoint",61.815,"End",2023-04-20 16:20:04,2023
"SB2023-015","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-016","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-016","Sacramento",150.086666666667,"Lower Sac R",2023-04-14 14:40:49,2023
"SB2023-017","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-017","Sacramento",150.086666666667,"Lower Sac R",2023-04-14 20:22:41,2023
"SB2023-017","Endpoint",61.815,"End",2023-04-18 15:20:32,2023
"SB2023-018","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-018","Sacramento",150.086666666667,"Lower Sac R",2023-04-14 12:21:53,2023
"SB2023-018","Endpoint",61.815,"End",2023-04-18 00:23:51,2023
"SB2023-019","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-019","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 16:45:46,2023
"SB2023-019","Endpoint",61.815,"End",2023-04-20 17:05:10,2023
"SB2023-020","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-021","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-022","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-022","Sacramento",150.086666666667,"Lower Sac R",2023-04-14 18:00:00,2023
"SB2023-023","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-024","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-024","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 03:24:26,2023
"SB2023-024","Endpoint",61.815,"End",2023-04-18 14:44:09,2023
"SB2023-025","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-025","Sacramento",150.086666666667,"Lower Sac R",2023-04-16 16:47:11,2023
"SB2023-025","Endpoint",61.815,"End",2023-04-20 17:28:21,2023
"SB2023-026","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-027","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-028","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-028","Sacramento",150.086666666667,"Lower Sac R",2023-04-18 04:20:03,2023
"SB2023-028","Endpoint",61.815,"End",2023-04-24 18:51:08,2023
"SB2023-029","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-029","Endpoint",61.815,"End",2023-04-19 01:54:48,2023
"SB2023-030","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-030","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 16:12:18,2023
"SB2023-031","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-032","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-033","Releasepoint",290.685625,"Butte Ck",2023-04-12 15:15:00,2023
"SB2023-033","Sacramento",150.086666666667,"Lower Sac R",2023-04-16 18:02:53,2023
"SB2023-034","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-034","Sacramento",150.086666666667,"Lower Sac R",2023-04-18 23:27:52,2023
"SB2023-034","Endpoint",61.815,"End",2023-04-24 19:33:37,2023
"SB2023-035","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-036","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-037","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-037","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 05:09:19,2023
"SB2023-038","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-040","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-041","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-042","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-043","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-044","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
"SB2023-044","Sacramento",150.086666666667,"Lower Sac R",2023-04-15 05:47:34,2023
"SB2023-044","Endpoint",61.815,"End",2023-04-21 14:13:18,2023
"SB2023-045","Releasepoint",290.685625,"Butte Ck",2023-04-13 15:15:00,2023
