"release_group_id","tag_code","date","forklength","cwt_tt","TTind"
2275,501020101,"2000-03-17",57,10.5,86
2276,501011514,"2000-04-10",75,27.5,87
680,501021509,"2000-04-27",79,5.5,88
680,501021509,"2000-04-28",71,6.5,88
715,501021402,"2000-04-20",78,5.5,90
717,501021313,"2000-04-14",79,6.5,91
724,501021403,"2000-04-19",73,4.5,92
724,501021407,"2000-04-21",71,6.5,92
724,501021407,"2000-04-21",77,6.5,92
732,501021404,"2000-04-24",83,9.5,93
764,501021411,"2000-04-21",73,6.5,95
764,501021411,"2000-04-21",84,6.5,95
779,501021508,"2000-04-27",70,5.5,96
786,501021507,"2000-04-27",82,5.5,97
797,501021401,"2000-04-21",71,6.5,99
814,501021506,"2000-04-27",77,5.5,102
814,501021506,"2000-04-27",78,5.5,102
814,501021506,"2000-04-28",72,6.5,102
814,501021506,"2000-05-01",72,9.5,102
831,501021505,"2000-04-28",72,6.5,103
831,501021505,"2000-04-28",75,6.5,103
841,501021412,"2000-04-24",77,2.5,106
855,501021504,"2000-04-27",76,5.5,108
855,501021504,"2000-04-27",77,5.5,108
855,501021504,"2000-04-28",82,6.5,108
856,501021503,"2000-04-28",72,6.5,109
190,50573,"2001-05-05",72,7.5,113
190,50573,"2001-05-05",71,7.5,113
190,50573,"2001-05-05",70,7.5,113
190,50573,"2001-05-05",74,7.5,113
190,50573,"2001-05-09",79,11.5,113
190,50573,"2001-05-09",80,11.5,113
190,50573,"2001-05-09",75,11.5,113
190,50573,"2001-05-11",80,13.5,113
190,50573,"2001-05-11",90,13.5,113
190,50573,"2001-05-11",81,13.5,113
190,50573,"2001-05-11",82,13.5,113
190,50573,"2001-05-11",83,13.5,113
190,50573,"2001-05-11",73,13.5,113
190,50573,"2001-05-11",74,13.5,113
190,50573,"2001-05-11",68,13.5,113
190,50573,"2001-05-11",69,13.5,113
190,50573,"2001-05-11",70,13.5,113
190,50573,"2001-05-11",76,13.5,113
190,50573,"2001-05-11",77,13.5,113
190,50573,"2001-05-14",76,16.5,113
190,50573,"2001-05-14",74,16.5,113
190,50573,"2001-05-14",83,16.5,113
190,50573,"2001-05-18",86,20.5,113
191,50568,"2001-05-04",67,6.5,114
191,50568,"2001-05-04",70,6.5,114
191,501030608,"2001-05-04",67,6.5,114
191,501030608,"2001-05-04",71,6.5,114
191,50568,"2001-05-05",75,7.5,114
191,50568,"2001-05-05",72,7.5,114
191,501030608,"2001-05-05",75,7.5,114
191,501030608,"2001-05-05",79,7.5,114
191,501030608,"2001-05-05",72,7.5,114
191,501030608,"2001-05-05",73,7.5,114
191,50568,"2001-05-09",78,11.5,114
191,50568,"2001-05-09",71,11.5,114
191,50568,"2001-05-09",75,11.5,114
191,50568,"2001-05-11",79,13.5,114
191,50568,"2001-05-11",85,13.5,114
191,50568,"2001-05-11",84,13.5,114
191,50568,"2001-05-11",73,13.5,114
191,50568,"2001-05-11",74,13.5,114
191,50568,"2001-05-11",71,13.5,114
191,50568,"2001-05-11",75,13.5,114
191,501030608,"2001-05-11",79,13.5,114
191,501030608,"2001-05-11",73,13.5,114
191,501030608,"2001-05-11",74,13.5,114
191,501030608,"2001-05-11",71,13.5,114
191,501030608,"2001-05-11",75,13.5,114
191,501030608,"2001-05-11",76,13.5,114
191,50568,"2001-05-14",80,16.5,114
191,50568,"2001-05-14",79,16.5,114
191,50568,"2001-05-14",72,16.5,114
191,501030608,"2001-05-14",79,16.5,114
191,501030608,"2001-05-14",82,16.5,114
191,501030608,"2001-05-14",85,16.5,114
192,501030607,"2001-05-04",75,6.5,115
192,501030607,"2001-05-05",71,7.5,115
192,501030607,"2001-05-05",73,7.5,115
192,501030607,"2001-05-05",70,7.5,115
192,501030607,"2001-05-05",75,7.5,115
192,501030607,"2001-05-09",80,11.5,115
192,501030607,"2001-05-09",72,11.5,115
192,501030607,"2001-05-09",76,11.5,115
192,501030607,"2001-05-11",80,13.5,115
192,501030607,"2001-05-11",79,13.5,115
192,501030607,"2001-05-11",85,13.5,115
192,501030607,"2001-05-11",82,13.5,115
192,501030607,"2001-05-11",73,13.5,115
